Te(K),D*N(1/m-s)
1547.2690790104266,3.649e+25
1590.5926132227185,3.705e+25
1635.4634165140208,3.756e+25
1681.1078543448284,3.802e+25
1729.0731957941516,3.842e+25
1777.8121717829802,3.876e+25
1827.3247823113138,3.902e+25
1879.158296458163,3.921e+25
1931.7654451445176,3.931e+25
1985.9198629098823,3.933e+25
2041.621549754258,3.926e+25
2099.6441402171486,3.91e+25
2158.440365219545,3.886e+25
2218.783859300952,3.853e+25
2281.448257000874,3.814e+25
2345.659923779807,3.769e+25
2412.192494177255,3.718e+25
2479.4986991142086,3.663e+25
2549.1258076696777,3.603e+25
2621.0738198436625,3.542e+25
2695.3427356361626,3.48e+25
2771.158920507674,3.413e+25
2848.5223744581954,3.349e+25
2928.9803665667373,3.282e+25
3010.98562775429,3.216e+25
3096.0854270998634,3.15e+25
3183.5061300639522,3.084e+25
3272.4741021070517,3.019e+25
3364.536612308172,2.957e+25
3459.6936606673135,2.893e+25
3557.1716126449705,2.831e+25
3656.970468241143,2.772e+25
3759.8638619953367,2.711e+25
3865.8517939075505,2.654e+25
3974.160629438281,2.598e+25
4086.3376376665365,2.542e+25
4200.835549513308,2.49e+25
4319.201634057606,2.436e+25
4440.662256759924,2.386e+25
4565.9910521597685,2.335e+25
4694.414385717634,2.288e+25
4825.93225743352,2.239e+25
4962.091936386438,2.195e+25
5101.346153497376,2.149e+25
5245.242177845346,2.107e+25
5393.006374890842,2.064e+25
5544.638744633863,2.023e+25
5700.139287074411,1.986e+25
5861.055271291496,1.948e+25
6025.839428206106,1.908e+25
6195.265392357747,1.872e+25
6369.333163746422,1.841e+25
6548.81637691163,1.806e+25
6732.94139731387,1.77e+25
6922.481859492648,1.741e+25
7117.437763447962,1.709e+25
7317.8091091798115,1.679e+25
7523.595896688199,1.652e+25
7734.798125973121,1.625e+25
7952.9630661135925,1.596e+25
8177.317082570104,1.569e+25
8409.407444421668,1.545e+25
8641.497806273232,1.523e+25
8889.0608589149,1.497e+25
9136.623911556568,1.472e+25
9391.923309593289,1.45e+25
9654.95905302506,1.43e+25
9925.731141851886,1.41e+25
10211.975921468815,1.389e+25
10498.220701085744,1.368e+25
10792.201826097726,1.348e+25
11093.919296504757,1.33e+25
11403.373112306843,1.312e+25
11728.299618899033,1.296e+25
12060.962470886274,1.278e+25
12393.625322873517,1.261e+25
12741.760865650864,1.244e+25
13105.369099218313,1.228e+25
13468.977332785764,1.213e+25
13848.058257143317,1.197e+25
