Te(K),kf(m3/s)
1547.2690790104266,1.178e-15
1590.5926132227185,1.162e-15
1635.4634165140208,1.148e-15
1681.8814888843335,1.138e-15
1729.0731957941516,1.131e-15
1777.8121717829802,1.128e-15
1827.3247823113138,1.131e-15
1879.158296458163,1.138e-15
1931.7654451445176,1.152e-15
1985.9198629098823,1.173e-15
2042.3951842937631,1.201e-15
2099.6441402171486,1.235e-15
2158.440365219545,1.278e-15
2218.783859300952,1.328e-15
2281.448257000874,1.385e-15
2345.659923779807,1.449e-15
2412.192494177255,1.521e-15
2479.4986991142086,1.601e-15
2549.1258076696777,1.687e-15
2621.0738198436625,1.78e-15
2695.3427356361626,1.881e-15
2771.158920507674,1.988e-15
2848.5223744581954,2.103e-15
2928.9803665667373,2.224e-15
3010.98562775429,2.353e-15
3096.0854270998634,2.488e-15
3183.5061300639522,2.631e-15
3272.4741021070517,2.781e-15
3364.536612308172,2.938e-15
3459.6936606673135,3.103e-15
3557.1716126449705,3.274e-15
3656.970468241143,3.453e-15
3759.8638619953367,3.64e-15
3865.8517939075505,3.834e-15
3974.160629438281,4.035e-15
4086.3376376665365,4.244e-15
4200.835549513308,4.461e-15
4319.201634057606,4.685e-15
4440.662256759924,4.918e-15
4565.9910521597685,5.158e-15
4694.414385717634,5.406e-15
4825.93225743352,5.661e-15
4962.091936386438,5.925e-15
5101.346153497376,6.197e-15
5245.242177845346,6.477e-15
5393.006374890842,6.764e-15
5544.638744633863,7.06e-15
5700.139287074411,7.365e-15
5861.055271291496,7.678e-15
6025.839428206106,7.998e-15
6195.265392357747,8.33e-15
6369.333163746422,8.669e-15
6548.81637691163,9.017e-15
6732.94139731387,9.375e-15
6922.481859492648,9.742e-15
7117.437763447962,1.012e-14
7317.8091091798115,1.051e-14
7523.595896688199,1.09e-14
7734.798125973121,1.131e-14
7952.9630661135925,1.173e-14
8177.317082570104,1.216e-14
8409.407444421668,1.26e-14
8641.497806273232,1.305e-14
8889.0608589149,1.352e-14
9136.623911556568,1.4e-14
9391.923309593289,1.449e-14
9654.95905302506,1.5e-14
9925.731141851886,1.552e-14
10211.975921468815,1.606e-14
10498.220701085744,1.662e-14
10792.201826097726,1.719e-14
11093.919296504757,1.778e-14
11403.373112306843,1.839e-14
11728.299618899033,1.903e-14
12060.962470886274,1.968e-14
12393.625322873517,2.036e-14
12741.760865650864,2.106e-14
13105.369099218313,2.18e-14
13468.977332785764,2.256e-14
13848.058257143317,2.335e-14
14242.611872290976,2.418e-14
14644.901832833688,2.504e-14
15054.928138771449,2.593e-14
15480.427135499316,2.687e-14
15913.662477622236,2.785e-14
16362.370510535262,2.888e-14
16818.814888843335,2.995e-14
17290.731957941516,3.11e-14
17778.1217178298,3.229e-14
18280.98416850819,3.355e-14
18791.58296458163,3.486e-14
19325.39079684023,3.625e-14
19866.934974493877,3.772e-14
20423.95184293763,3.926e-14
21004.177747566537,4.09e-14
21592.1399975905,4.262e-14
22203.31128379962,4.444e-14
22822.21891540379,4.636e-14
23464.335583193115,4.839e-14
24129.661287167604,5.053e-14
24802.723336537136,5.28e-14
25506.73076748688,5.519e-14
26218.474543831675,5.77e-14
26961.16370175668,6.034e-14
27719.325550471793,6.313e-14
28500.696435372054,6.604e-14
29297.540011062425,6.909e-14
30125.328968333004,7.228e-14
30968.59061639369,7.561e-14
31842.797646034574,7.906e-14
32740.213711860626,8.265e-14
33660.83881387183,8.634e-14
34604.672952068184,9.021e-14
35579.45247184476,9.419e-14
36577.44102780648,9.831e-14
37606.37496534841,1.026e-13
38666.25428447056,1.069e-13
39757.07898517291,1.114e-13
40871.11272206042,1.157e-13
42023.82818592319,1.198e-13
43207.48903136616,1.237e-13
44422.095258389345,1.276e-13
45675.38321238779,1.314e-13
46959.61654796645,1.352e-13
48282.53161052036,1.388e-13
49636.39205465449,1.424e-13
51028.934225763864,1.459e-13
52467.89446924357,1.492e-13
53945.53643969852,1.524e-13
55461.86013712873,1.555e-13
57024.601906929274,1.585e-13
58626.02540370507,1.613e-13
60273.86697285117,1.641e-13
61975.86295976263,1.667e-13
63716.54067364937,1.692e-13
65511.37280530146,1.716e-13
67352.62300932386,1.739e-13
69248.02763111163,1.761e-13
71189.85032526973,1.782e-13
73193.56378258823,1.802e-13
75259.16800306714,1.821e-13
77363.45395052133,1.839e-13
79529.63066113592,1.857e-13
81773.17082570105,1.873e-13
84094.07444421668,1.888e-13
86492.34151668283,1.902e-13
88890.60858914901,1.915e-13
91366.2391155657,1.928e-13
93996.59654988341,1.939e-13
96626.95398420113,1.95e-13
99334.67487246939,1.96e-13
102119.75921468814,1.969e-13
104982.20701085744,1.977e-13
107922.01826097723,1.984e-13
111016.5564189981,1.991e-13
114111.09457701896,1.996e-13
117282.99618899034,2.001e-13
120609.62470886274,2.005e-13
124013.6166826857,2.009e-13
127494.97211045914,2.012e-13
131053.69099218314,2.013e-13
134767.13678180816,2.015e-13
138557.9460253837,2.015e-13
142503.4821768603,2.015e-13
146449.01832833685,2.014e-13
150626.644841665,2.013e-13
154804.2713549932,2.011e-13
159213.98823017286,2.008e-13
163701.06855930312,2.005e-13
168265.51234238388,2.001e-13
172984.68303336567,1.997e-13
177858.58063224852,1.992e-13
182887.20513903242,1.986e-13
187993.19309976682,1.98e-13
193331.2714223528,1.973e-13
198746.7131988893,1.966e-13
204316.8818833268,1.959e-13
210119.1409296159,1.951e-13
