Te(K),kf(m3/s)
1547.2690790104266,0.0
1590.5926132227185,0.0
1635.4634165140208,0.0
1681.8814888843335,0.0
1729.0731957941516,0.0
1777.8121717829802,0.0
1827.3247823113138,0.0
1879.158296458163,0.0
1931.7654451445176,0.0
1985.9198629098823,0.0
2042.3951842937631,0.0
2099.6441402171486,0.0
2158.440365219545,0.0
2218.783859300952,0.0
2281.448257000874,0.0
2345.659923779807,0.0
2412.192494177255,0.0
2479.4986991142086,0.0
2549.1258076696777,0.0
2621.0738198436625,0.0
2695.3427356361626,0.0
2771.158920507674,0.0
2848.5223744581954,0.0
2928.9803665667373,0.0
3010.98562775429,0.0
3096.0854270998634,0.0
3183.5061300639522,0.0
3272.4741021070517,0.0
3364.536612308172,0.0
3459.6936606673135,0.0
3557.1716126449705,0.0
3656.970468241143,0.0
3759.8638619953367,0.0
3865.8517939075505,0.0
3974.160629438281,0.0
4086.3376376665365,0.0
4200.835549513308,0.0
4319.201634057606,0.0
4440.662256759924,0.0
4565.9910521597685,0.0
4694.414385717634,0.0
4825.93225743352,0.0
4962.091936386438,0.0
5101.346153497376,0.0
5245.242177845346,0.0
5393.006374890842,0.0
5544.638744633863,0.0
5700.139287074411,0.0
5861.055271291496,0.0
6025.839428206106,0.0
6195.265392357747,0.0
6369.333163746422,0.0
6548.81637691163,0.0
6732.94139731387,0.0
6922.481859492648,0.0
7117.437763447962,0.0
7317.8091091798115,0.0
7523.595896688199,0.0
7734.798125973121,0.0
7952.9630661135925,0.0
8177.317082570104,0.0
8409.407444421668,0.0
8641.497806273232,0.0
8889.0608589149,0.0
9136.623911556568,0.0
9391.923309593289,0.0
9654.95905302506,0.0
9925.731141851886,0.0
10211.975921468815,0.0
10498.220701085744,0.0
10792.201826097726,0.0
11093.919296504757,0.0
11403.373112306843,0.0
11728.299618899033,0.0
12060.962470886274,0.0
12393.625322873517,0.0
12741.760865650864,0.0
13105.369099218313,0.0
13468.977332785764,0.0
13848.058257143317,0.0
14242.611872290976,0.0
14644.901832833688,0.0
15054.928138771449,0.0
15480.427135499316,0.0
15913.662477622236,0.0
16362.370510535262,0.0
16818.814888843335,0.0
17290.731957941516,0.0
17778.1217178298,0.0
18280.98416850819,0.0
18791.58296458163,0.0
19325.39079684023,0.0
19866.934974493877,0.0
20423.95184293763,0.0
21004.177747566537,0.0
21592.1399975905,0.0
22203.31128379962,0.0
22822.21891540379,0.0
23464.335583193115,0.0
24129.661287167604,0.0
24802.723336537136,0.0
25506.73076748688,0.0
26218.474543831675,0.0
26961.16370175668,0.0
27719.325550471793,0.0
28500.696435372054,0.0
29297.540011062425,0.0
30125.328968333004,0.0
30968.59061639369,0.0
31842.797646034574,0.0
32740.213711860626,0.0
33660.83881387183,0.0
34604.672952068184,0.0
35579.45247184476,0.0
36577.44102780648,0.0
37606.37496534841,0.0
38666.25428447056,0.0
39757.07898517291,8.096e-27
40871.11272206042,1.954e-23
42023.82818592319,3.516e-21
43207.48903136616,7.009e-20
44422.095258389345,5.023e-19
45675.38321238779,2.108e-18
46959.61654796645,6.423e-18
48282.53161052036,1.579e-17
49636.39205465449,3.329e-17
51028.934225763864,6.232e-17
52467.89446924357,1.068e-16
53945.53643969852,1.701e-16
55461.86013712873,2.557e-16
57024.601906929274,3.66e-16
58626.02540370507,5.036e-16
60273.86697285117,6.705e-16
61975.86295976263,8.681e-16
63716.54067364937,1.098e-15
65511.37280530146,1.361e-15
67352.62300932386,1.658e-15
69248.02763111163,1.991e-15
71189.85032526973,2.357e-15
73193.56378258823,2.761e-15
75259.16800306714,3.203e-15
77363.45395052133,3.68e-15
79529.63066113592,4.197e-15
81773.17082570105,4.75e-15
84094.07444421668,5.341e-15
86492.34151668283,5.968e-15
88890.60858914901,6.636e-15
91366.2391155657,7.341e-15
93996.59654988341,8.086e-15
96626.95398420113,8.868e-15
99334.67487246939,9.689e-15
102119.75921468814,1.055e-14
104982.20701085744,1.144e-14
107922.01826097723,1.238e-14
111016.5564189981,1.335e-14
114111.09457701896,1.436e-14
117282.99618899034,1.541e-14
120609.62470886274,1.65e-14
124013.6166826857,1.762e-14
127494.97211045914,1.877e-14
131053.69099218314,1.997e-14
134767.13678180816,2.119e-14
138557.9460253837,2.245e-14
142503.4821768603,2.375e-14
146449.01832833685,2.508e-14
150626.644841665,2.644e-14
154804.2713549932,2.784e-14
159213.98823017286,2.926e-14
163701.06855930312,3.072e-14
168265.51234238388,3.221e-14
172984.68303336567,3.372e-14
177858.58063224852,3.527e-14
182887.20513903242,3.684e-14
187993.19309976682,3.844e-14
193331.2714223528,4.006e-14
198746.7131988893,4.171e-14
204316.8818833268,4.339e-14
210119.1409296159,4.508e-14
215998.76342985555,4.68e-14
222110.47629194672,4.854e-14
228299.55260798844,5.03e-14
234720.7192858817,5.208e-14
241373.97632562654,5.388e-14
248181.96027327242,5.569e-14
255144.67112881932,5.752e-14
262339.4723462178,5.937e-14
269689.0004715173,6.123e-14
277270.61895866843,6.31e-14
285084.3278076711,6.498e-14
293130.1270185253,6.687e-14
301330.6531372806,6.877e-14
309840.6330718379,7.068e-14
318505.33991429635,7.26e-14
327479.50057255675,7.452e-14
336685.7515926688,7.644e-14
346201.4564285829,7.837e-14
355949.2516263486,8.031e-14
365929.13718596584,8.224e-14
376218.4765613852,8.417e-14
386817.26975260663,8.61e-14
