Te(K),Mu*N(1/V-m-s)
1547.2690790104266,1.242e+26
1590.5926132227185,1.221e+26
1635.4634165140208,1.198e+26
1681.8814888843335,1.17e+26
1729.0731957941516,1.139e+26
1777.8121717829802,1.104e+26
1827.3247823113138,1.065e+26
1879.158296458163,1.024e+26
1931.7654451445176,9.791e+25
1985.9198629098823,9.326e+25
2042.3951842937631,8.85e+25
2099.6441402171486,8.373e+25
2158.440365219545,7.899e+25
2218.783859300952,7.437e+25
2281.448257000874,6.993e+25
2345.659923779807,6.57e+25
2412.192494177255,6.171e+25
2479.4986991142086,5.796e+25
2549.1258076696777,5.445e+25
2621.0738198436625,5.12e+25
2695.3427356361626,4.817e+25
2771.158920507674,4.536e+25
2848.5223744581954,4.276e+25
2928.9803665667373,4.036e+25
3010.98562775429,3.813e+25
3096.0854270998634,3.606e+25
3183.5061300639522,3.415e+25
3272.4741021070517,3.237e+25
3364.536612308172,3.072e+25
3459.6936606673135,2.918e+25
3557.1716126449705,2.775e+25
3656.970468241143,2.642e+25
3759.8638619953367,2.518e+25
3865.8517939075505,2.402e+25
3974.160629438281,2.294e+25
4086.3376376665365,2.192e+25
4200.835549513308,2.097e+25
4319.201634057606,2.008e+25
4440.662256759924,1.924e+25
4565.9910521597685,1.845e+25
4694.414385717634,1.77e+25
4825.93225743352,1.7e+25
4962.091936386438,1.634e+25
5101.346153497376,1.571e+25
5245.242177845346,1.512e+25
5393.006374890842,1.456e+25
5544.638744633863,1.403e+25
5700.139287074411,1.353e+25
5861.055271291496,1.305e+25
6025.839428206106,1.26e+25
6195.265392357747,1.216e+25
6369.333163746422,1.175e+25
6548.81637691163,1.135e+25
6732.94139731387,1.097e+25
6922.481859492648,1.061e+25
7117.437763447962,1.027e+25
7317.8091091798115,9.934e+24
7523.595896688199,9.616e+24
7734.798125973121,9.31e+24
7952.9630661135925,9.014e+24
8177.317082570104,8.731e+24
8409.407444421668,8.457e+24
8641.497806273232,8.193e+24
8889.0608589149,7.937e+24
9136.623911556568,7.69e+24
9391.923309593289,7.45e+24
9654.95905302506,7.218e+24
9925.731141851886,6.993e+24
10211.975921468815,6.773e+24
10498.220701085744,6.559e+24
10792.201826097726,6.352e+24
11093.919296504757,6.149e+24
11403.373112306843,5.953e+24
11728.299618899033,5.759e+24
12060.962470886274,5.571e+24
12393.625322873517,5.387e+24
12741.760865650864,5.207e+24
13105.369099218313,5.031e+24
13468.977332785764,4.859e+24
13848.058257143317,4.69e+24
14242.611872290976,4.524e+24
14644.901832833688,4.362e+24
15054.928138771449,4.203e+24
15480.427135499316,4.048e+24
15913.662477622236,3.895e+24
16362.370510535262,3.746e+24
16818.814888843335,3.601e+24
17290.731957941516,3.455e+24
17778.1217178298,3.316e+24
18280.98416850819,3.179e+24
18791.58296458163,3.047e+24
19325.39079684023,2.917e+24
19866.934974493877,2.791e+24
20423.95184293763,2.669e+24
21004.177747566537,2.55e+24
21592.1399975905,2.435e+24
22203.31128379962,2.324e+24
22822.21891540379,2.217e+24
23464.335583193115,2.114e+24
24129.661287167604,2.016e+24
24802.723336537136,1.921e+24
25506.73076748688,1.83e+24
26218.474543831675,1.744e+24
26961.16370175668,1.662e+24
27719.325550471793,1.585e+24
28500.696435372054,1.511e+24
29297.540011062425,1.442e+24
30125.328968333004,1.377e+24
30968.59061639369,1.317e+24
31842.797646034574,1.26e+24
32740.213711860626,1.209e+24
33660.83881387183,1.162e+24
34604.672952068184,1.12e+24
35579.45247184476,1.085e+24
36577.44102780648,1.057e+24
37606.37496534841,1.041e+24
38666.25428447056,1.041e+24
39757.07898517291,1.064e+24
40871.11272206042,1.085e+24
42023.82818592319,1.066e+24
43207.48903136616,1.032e+24
44422.095258389345,9.991e+23
45675.38321238779,9.691e+23
46959.61654796645,9.43e+23
48282.53161052036,9.207e+23
49636.39205465449,9.016e+23
51028.934225763864,8.85e+23
52467.89446924357,8.702e+23
53945.53643969852,8.567e+23
55461.86013712873,8.441e+23
57024.601906929274,8.322e+23
58626.02540370507,8.208e+23
60273.86697285117,8.1e+23
61975.86295976263,7.996e+23
63716.54067364937,7.897e+23
65511.37280530146,7.802e+23
67352.62300932386,7.711e+23
69248.02763111163,7.625e+23
71189.85032526973,7.542e+23
73193.56378258823,7.463e+23
75259.16800306714,7.387e+23
77363.45395052133,7.315e+23
79529.63066113592,7.246e+23
81773.17082570105,7.181e+23
84094.07444421668,7.119e+23
86492.34151668283,7.059e+23
88890.60858914901,7.001e+23
91366.2391155657,6.946e+23
93996.59654988341,6.894e+23
96626.95398420113,6.844e+23
99334.67487246939,6.795e+23
102119.75921468814,6.748e+23
104982.20701085744,6.704e+23
107922.01826097723,6.661e+23
111016.5564189981,6.619e+23
114111.09457701896,6.579e+23
117282.99618899034,6.54e+23
120609.62470886274,6.502e+23
124013.6166826857,6.466e+23
127494.97211045914,6.432e+23
131053.69099218314,6.398e+23
134767.13678180816,6.365e+23
138557.9460253837,6.334e+23
142503.4821768603,6.303e+23
146449.01832833685,6.273e+23
150626.644841665,6.245e+23
154804.2713549932,6.217e+23
159213.98823017286,6.19e+23
163701.06855930312,6.164e+23
168265.51234238388,6.14e+23
172984.68303336567,6.115e+23
177858.58063224852,6.092e+23
182887.20513903242,6.069e+23
187993.19309976682,6.048e+23
193331.2714223528,6.026e+23
198746.7131988893,6.006e+23
204316.8818833268,5.986e+23
210119.1409296159,5.967e+23
215998.76342985555,5.949e+23
222110.47629194672,5.931e+23
228299.55260798844,5.914e+23
234720.7192858817,5.898e+23
241373.97632562654,5.882e+23
248181.96027327242,5.867e+23
255144.67112881932,5.853e+23
262339.4723462178,5.838e+23
269689.0004715173,5.825e+23
277270.61895866843,5.812e+23
285084.3278076711,5.8e+23
293130.1270185253,5.788e+23
301330.6531372806,5.777e+23
309840.6330718379,5.767e+23
318505.33991429635,5.756e+23
327479.50057255675,5.747e+23
336685.7515926688,5.737e+23
346201.4564285829,5.729e+23
355949.2516263486,5.721e+23
365929.13718596584,5.713e+23
376218.4765613852,5.706e+23
386817.26975260663,5.7e+23
