E/N(Td),E(V/m),Nr,energy,diffusion,mobility,bolsig_energy,bolsig_defussion,bolsig_mobility,l2_f0,l2_f1,Tg,ion_deg,atol,rtol,g0,bolsig_g0,g2,bolsig_g2
1.0,32.199999999999996,128.0,1.8026884625634345,1.7679262046895258e+25,3.966970545130346e+24,1.801,4.734e+24,3.943e+24,0.0005588804237854838,2.0120991543601625,0.0,0.1,13174.074018137651,1.8369594316716351e-06,2.4186210498111896e-14,2.415e-14,9.161200816257198e-20,9.096e-20
1.0,32.199999999999996,128.0,1.869496516440718,1.7285077710343688e+25,4.5247899352847513e+24,1.866,5.561e+24,4.47e+24,0.001790510349199936,2.0258945988222394,0.0,0.01,1734.6370849010427,2.2298844716876333e-06,2.5491797039722247e-14,2.541e-14,1.0787951284758858e-19,1.085e-19
1.0,32.199999999999996,128.0,2.0470800609706785,1.6339752434651667e+25,5.310437788317258e+24,2.034,7.146e+24,5.266e+24,0.006844722408720711,2.026302719386911,0.0,0.001,149.30121738368524,2.0611890582207963e-06,2.906817129084778e-14,2.88e-14,1.178457953404604e-19,1.183e-19
1.0,32.199999999999996,128.0,2.3370971752590304,1.5022764227333662e+25,5.746762518687794e+24,2.319,8.933e+24,5.738e+24,0.009459146604998926,2.022956462598313,0.0,0.0001,0.09809338474492064,9.135036881080461e-09,3.517758605286368e-14,3.478e-14,7.520662782399755e-20,7.888e-20
1.0,32.199999999999996,128.0,2.616025202382027,1.3693842318572626e+25,5.509791988246318e+24,2.61,1.042e+25,5.556e+24,0.008896741127736784,1.9839756780854554,0.0,1e-05,0.013361835924907677,5.837218577130278e-09,4.085762907563287e-14,4.078e-14,6.618691182738584e-21,8.761e-21
1.0,32.199999999999996,128.0,2.5828278614523232,1.2738782967742552e+25,4.298312358427481e+24,2.59,1.151e+25,4.377e+24,0.008977445806267574,1.9065514619096915,0.0,1e-06,0.001829075657342985,4.038315117566204e-09,3.8257485096667234e-14,3.852e-14,4.866675112934671e-28,2.94e-27
5.0,160.99999999999997,128.0,2.4691586918755712,1.45870525670116e+25,2.6360298262972774e+24,2.466,4.296e+24,2.613e+24,0.0010307376814337817,2.0172290625313845,0.0,0.1,10531.29863867313,2.210496767001801e-06,3.819382687831235e-14,3.812e-14,3.3151994223829422e-18,3.305e-18
5.0,160.99999999999997,128.0,2.627767950914092,1.404343176407882e+25,3.102246455030229e+24,2.613,5.358e+24,3.072e+24,0.006416149965753021,2.0220705234359526,0.0,0.01,201.71090040438744,4.310542939891541e-07,4.1810020638825497e-14,4.146e-14,3.9044507003129096e-18,3.863e-18
5.0,160.99999999999997,128.0,3.040333380140111,1.2816880547909154e+25,3.395738209999828e+24,3.009,6.886e+24,3.397e+24,0.013031801583853047,2.0119505398829487,0.0,0.001,0.4940307019685946,7.848941852816524e-09,5.158751343213787e-14,5.082e-14,4.078372284022009e-18,4.096e-18
5.0,160.99999999999997,128.0,3.8061546561507447,1.0962797818623818e+25,2.8892208272066405e+24,3.758,7.957e+24,2.949e+24,0.020489899585732493,1.9648490697814471,0.0,0.0001,0.05648171617274776,2.4080622830026717e-09,7.072126752241326e-14,6.947e-14,3.018730089450818e-18,3.12e-18
5.0,160.99999999999997,128.0,4.80383165127093,9.01424850979947e+24,1.745360878680545e+24,4.753,8.022e+24,1.807e+24,0.021854939983431278,1.8836152868809524,0.0,1e-05,0.013139513139550937,9.029381918963084e-09,9.679865707017824e-14,9.543e-14,1.143662723402003e-18,1.239e-18
5.0,160.99999999999997,128.0,5.397643130326546,7.920463584072561e+24,1.0503495149197243e+24,5.389,7.658e+24,1.068e+24,0.010415912730636115,1.926555631191207,0.0,1e-06,0.0031543661225439334,8.14805563246926e-09,1.1210925632681137e-13,1.119e-13,1.326448492287153e-19,1.539e-19
20.0,643.9999999999999,128.0,3.2994315072189417,1.228911087734632e+25,1.846600118262071e+24,3.29,4.018e+24,1.831e+24,0.0034089074503675927,2.018386493940867,0.0,0.1,1043.1895659157053,3.3002102590692003e-07,5.788294992059724e-14,5.763e-14,3.830162854018348e-17,3.791e-17
20.0,643.9999999999999,128.0,3.624272823206238,1.158356842965599e+25,2.158477890711897e+24,3.596,5.192e+24,2.147e+24,0.010255283317803957,2.0162758902856917,0.0,0.01,2.523172324014465,6.705029560849636e-09,6.607667602708707e-14,6.535e-14,4.3917392230494505e-17,4.373e-17
20.0,643.9999999999999,128.0,4.377582740773388,1.0131863637899967e+25,2.07886381320115e+24,4.329,6.525e+24,2.113e+24,0.019022364334821826,1.9721511024496883,0.0,0.001,0.2978725655749059,6.080202578108694e-10,8.573235433527257e-14,8.441e-14,4.040469183167322e-17,4.119e-17
20.0,643.9999999999999,128.0,5.4219938238998395,8.530718851543448e+24,1.46577807030884e+24,5.374,7.048e+24,1.507e+24,0.014546438485620736,1.9087811040633729,0.0,0.0001,0.0438343017221927,6.896644235302154e-10,1.1430768413219068e-13,1.129e-13,2.642319770362138e-17,2.73e-17
20.0,643.9999999999999,128.0,6.213616045014481,7.697687783987003e+24,1.0968914472155939e+24,6.19,7.035e+24,1.108e+24,0.027818896872448495,1.9753572399328427,0.0,1e-05,0.009787946598405275,3.693837723406715e-10,1.372587113656015e-13,1.365e-13,1.842948634928089e-17,1.867e-17
20.0,643.9999999999999,128.0,6.445829382345282,7.501223084097919e+24,1.0184223352042405e+24,6.442,7.18e+24,1.021e+24,0.03484598058037848,2.001855502727707,0.0,1e-06,0.0011906865491280007,1.056782953935069e-10,1.4420322340714006e-13,1.44e-13,1.6782287962889336e-17,1.678e-17
100.0,3219.9999999999995,128.0,5.14656871824161,9.598738872075903e+24,1.1394267416938589e+24,5.129,3.908e+24,1.138e+24,0.005739453471191992,2.0181291202793097,0.0,0.1,17.399351313826426,8.166784804902773e-09,1.0268290282964079e-13,1.022e-13,5.439152511789686e-16,5.436e-16
100.0,3219.9999999999995,128.0,5.793476689556785,8.744535297777402e+24,1.2110364126498577e+24,5.76,5.023e+24,1.233e+24,0.013373819703483397,1.9685795499166705,0.0,0.01,0.9080963797090245,2.141805065801493e-09,1.2020066285041483e-13,1.192e-13,5.604225589433198e-16,5.713e-16
100.0,3219.9999999999995,128.0,6.6054798342128205,7.735373310590793e+24,1.0256526935215179e+24,6.603,5.98e+24,1.055e+24,0.030077673707633444,1.9103002281150423,0.0,0.001,0.12931328770550232,2.0736597740747294e-10,1.436972035574054e-13,1.433e-13,4.569086636880741e-16,4.702e-16
100.0,3219.9999999999995,128.0,6.998384541870319,7.394297926715988e+24,9.227507362688153e+23,7.264,6.435e+24,8.595e+23,0.15280571497650075,2.346783460369422,0.0,0.0001,0.01286356659976802,1.2854119636597365e-10,1.5554854970162776e-13,1.625e-13,4.036779455985826e-16,4.418e-16
100.0,3219.9999999999995,128.0,7.077113165112783,7.348005808351834e+24,9.05653923044914e+23,7.424,6.561e+24,8.231e+23,0.17530047736093662,2.46710996354963,0.0,1e-05,0.0016039056707693967,3.31655936752949e-11,1.5787264582182076e-13,1.67e-13,4.0073109358495684e-16,4.6e-16
100.0,3219.9999999999995,128.0,7.195571478777422,7.304518568042961e+24,8.679818881948e+23,7.101,6.773e+24,9.126e+23,0.07607123105569785,1.9436339770767959,0.0,1e-06,0.0011081699530303888,4.0966611493509585e-10,1.598156561296545e-13,1.583e-13,5.402204174118881e-16,3.973e-16
